name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Anyang vs Gimcheon Sangmu,2025-03-08 07:30:00,Sangju Sangmu won after full-time.,K League 1,Anyang,Gimcheon Sangmu,1.0,3.0,10.0,7.0,5.0,5.0,3.0,9.0,12.0,20.0,108.0,96.0,73.0,80.0,56.0,44.0,1.0,0.0,9.0,15.0,3.0,5.0,1.0,4.0,12.0,9.0,8.0,15.0,8.0,7.0,5.0,6.0,2.0,0.0,3.11,3.21,2.5,1.85,2.01,,,2.09,1.81,2.03,1.84,3.1,3.1,2.45,1.8,1.9,,,2.1,1.77,2.02,1.82,0.32,0.31,0.4,0.5,0.54,,,0.48,0.55,0.49,0.54,0.32,0.32,0.41,0.56,0.53,,,0.48,0.56,0.5,0.55,2025
Ulsan HD vs Jeju United,2025-03-09 05:00:00,Ulsan HD won after full-time.,K League 1,Ulsan HD,Jeju United,2.0,0.0,4.0,7.0,8.0,6.0,7.0,8.0,19.0,11.0,117.0,147.0,87.0,93.0,46.0,54.0,,,12.0,5.0,7.0,6.0,2.0,3.0,12.0,10.0,13.0,9.0,14.0,15.0,1.0,4.0,4.0,1.0,1.57,4.14,6.23,1.88,1.96,,,,,1.92,1.96,1.55,3.9,6.25,1.83,1.83,,,,,1.95,1.9,0.64,0.24,0.16,0.51,0.53,,,,,0.52,0.51,0.65,0.26,0.16,0.55,0.55,,,,,0.51,0.53,2025
Jeonbuk Motors vs Gangwon,2025-03-09 07:30:00,Gangwon won after full-time.,K League 1,Jeonbuk Motors,Gangwon,0.0,1.0,8.0,9.0,5.0,0.0,6.0,2.0,11.0,5.0,147.0,97.0,118.0,41.0,49.0,51.0,,,8.0,1.0,3.0,4.0,,,4.0,8.0,7.0,3.0,16.0,3.0,0.0,3.0,1.0,0.0,2.21,3.3,3.59,1.96,1.89,,,1.93,1.95,2.01,1.83,2.15,3.1,3.6,1.83,1.83,,,1.92,1.92,,,0.45,0.3,0.28,0.53,0.51,,,0.52,0.51,0.5,0.55,0.47,0.32,0.28,0.55,0.55,,,0.52,0.52,,,2025
Jeju United vs Daejeon Citizen,2025-03-15 05:00:00,Daejeon Citizen won after full-time.,K League 1,Jeju United,Daejeon Citizen,1.0,3.0,9.0,2.0,1.0,4.0,8.0,4.0,15.0,11.0,87.0,75.0,45.0,49.0,53.0,47.0,1.0,0.0,10.0,8.0,5.0,3.0,1.0,1.0,15.0,10.0,9.0,9.0,9.0,5.0,2.0,2.0,1.0,0.0,3.0,3.26,2.55,2.15,1.75,,,1.82,2.07,,,3.0,3.0,2.55,2.0,1.72,,,1.8,2.05,2.02,1.82,0.33,0.31,0.39,0.57,0.47,,,0.55,0.48,,,0.33,0.33,0.39,0.5,0.58,,,0.56,0.49,0.5,0.55,2025
Gangwon vs Seoul,2025-03-15 07:30:00,Seoul won after full-time.,K League 1,Gangwon,Seoul,0.0,1.0,5.0,7.0,1.0,2.0,4.0,3.0,5.0,12.0,105.0,105.0,45.0,54.0,54.0,46.0,,,3.0,9.0,2.0,3.0,1.0,0.0,2.0,6.0,6.0,11.0,6.0,11.0,7.0,0.0,2.0,2.0,3.49,2.84,2.53,1.66,2.3,1.99,1.9,1.93,1.9,,,3.3,3.0,2.4,1.66,2.1,2.02,1.82,,,,,0.29,0.35,0.4,0.43,0.6,0.5,0.53,0.52,0.53,,,0.3,0.33,0.42,0.6,0.48,0.5,0.55,,,,,2025
Daegu vs Anyang,2025-03-15 07:30:00,Anyang won after full-time.,K League 1,Daegu,Anyang,0.0,1.0,4.0,10.0,14.0,3.0,4.0,2.0,19.0,14.0,161.0,97.0,118.0,54.0,60.0,40.0,,,14.0,8.0,5.0,6.0,2.0,0.0,3.0,7.0,9.0,7.0,10.0,12.0,4.0,7.0,3.0,5.0,1.96,3.58,4.07,2.1,1.78,,,1.89,2.0,1.95,1.93,1.9,3.3,4.1,2.0,1.72,,,1.87,1.97,1.92,1.92,0.51,0.28,0.25,0.56,0.48,,,0.53,0.5,0.51,0.52,0.53,0.3,0.24,0.5,0.58,,,0.53,0.51,0.52,0.52,2025
Suwon vs Ulsan HD,2025-03-16 05:00:00,Game ended in draw.,K League 1,Suwon,Ulsan HD,1.0,1.0,11.0,2.0,1.0,8.0,4.0,10.0,6.0,23.0,104.0,142.0,54.0,105.0,36.0,64.0,0.0,1.0,2.0,17.0,4.0,6.0,2.0,5.0,14.0,6.0,7.0,13.0,16.0,19.0,2.0,1.0,2.0,2.0,4.22,3.62,1.92,1.92,1.93,,,1.84,2.05,1.97,1.91,4.1,3.5,1.9,1.8,1.9,,,1.85,2.0,1.97,1.87,0.24,0.28,0.52,0.52,0.52,,,0.54,0.49,0.51,0.52,0.24,0.29,0.53,0.56,0.53,,,0.54,0.5,0.51,0.53,2025
Gimcheon Sangmu vs Gwangju,2025-03-16 07:30:00,Game ended in draw.,K League 1,Gimcheon Sangmu,Gwangju,,,4.0,8.0,4.0,2.0,8.0,5.0,14.0,10.0,136.0,79.0,78.0,30.0,61.0,39.0,,,5.0,7.0,9.0,3.0,1.0,1.0,6.0,9.0,13.0,8.0,8.0,6.0,2.0,4.0,0.0,1.0,1.97,3.46,4.2,1.9,1.95,1.79,2.12,2.02,1.87,,,1.9,3.5,4.0,1.72,2.0,1.77,2.1,1.92,1.92,,,0.51,0.29,0.24,0.51,0.53,0.56,0.47,0.5,0.53,,,0.53,0.29,0.25,0.58,0.5,0.56,0.48,0.52,0.52,,,2025
Jeonbuk Motors vs Pohang Steelers,2025-03-16 07:30:00,Game ended in draw.,K League 1,Jeonbuk Motors,Pohang Steelers,2.0,2.0,9.0,12.0,5.0,7.0,3.0,10.0,10.0,17.0,92.0,140.0,64.0,90.0,32.0,68.0,,,6.0,13.0,4.0,4.0,0.0,2.0,10.0,6.0,8.0,12.0,10.0,9.0,3.0,4.0,1.0,1.0,2.03,3.34,3.94,1.92,1.93,,,1.89,2.0,1.89,1.99,1.95,3.4,3.9,1.83,1.83,,,1.87,1.97,2.0,1.85,0.49,0.3,0.25,0.52,0.52,,,0.53,0.5,0.53,0.5,0.51,0.29,0.26,0.55,0.55,,,0.53,0.51,0.5,0.54,2025
Gwangju vs Pohang Steelers,2025-03-22 07:30:00,Pohang Steelers won after full-time.,K League 1,Gwangju,Pohang Steelers,2.0,3.0,7.0,12.0,6.0,0.0,4.0,5.0,10.0,12.0,139.0,115.0,78.0,68.0,57.0,43.0,0.0,1.0,8.0,8.0,2.0,4.0,1.0,1.0,8.0,10.0,8.0,10.0,14.0,14.0,3.0,3.0,5.0,2.0,2.08,3.29,4.02,1.84,2.02,,,2.1,1.81,,,2.0,3.2,3.8,1.72,2.0,1.77,2.1,2.05,1.8,,,0.48,0.3,0.25,0.5,0.54,,,0.48,0.55,,,0.5,0.31,0.26,0.58,0.5,0.56,0.48,0.49,0.56,,,2025
